CARE_AVG,FAIRNESS_AVG,LOYALTY_AVG,AUTHORITY_AVG,PURITY_AVG,Sex,Country
2.6666666666666665,3.8333333333333335,1.3333333333333333,2.6666666666666665,1.3333333333333333,0,Netherlands
3.6666666666666665,2.6666666666666665,1.6666666666666667,1.6666666666666667,1.5,1,Netherlands
3.6666666666666665,3.1666666666666665,1.8333333333333333,2.1666666666666665,2.5,0,Netherlands
3.6666666666666665,3.333333333333333,2.6666666666666665,2.5,2.1666666666666665,0,Netherlands
4.0,3.5,2.5,0.6666666666666666,0.0,1,Netherlands
3.8333333333333335,3.0,2.833333333333333,1.8333333333333333,1.8333333333333333,0,Netherlands
3.5,2.1666666666666665,2.0,0.5,1.6666666666666667,0,Netherlands
4.5,4.0,0.5,1.6666666666666667,0.8333333333333334,0,Netherlands
2.833333333333333,3.5,2.833333333333333,1.6666666666666667,1.0,0,Netherlands
2.6666666666666665,3.1666666666666665,2.1666666666666665,1.8333333333333333,2.0,0,Netherlands
3.6666666666666665,2.833333333333333,1.0,1.8333333333333333,0.6666666666666666,0,Netherlands
3.333333333333333,3.8333333333333335,2.333333333333333,2.5,1.1666666666666667,1,Netherlands
3.0,3.1666666666666665,2.333333333333333,1.6666666666666667,2.333333333333333,0,Netherlands
3.333333333333333,2.5,2.5,0.3333333333333333,1.3333333333333333,1,Netherlands
3.5,3.0,2.833333333333333,3.5,2.333333333333333,1,Netherlands
3.0,3.1666666666666665,2.833333333333333,3.6666666666666665,2.5,0,Netherlands
3.0,2.1666666666666665,1.6666666666666667,2.833333333333333,3.333333333333333,0,Netherlands
3.1666666666666665,3.1666666666666665,2.1666666666666665,2.6666666666666665,3.1666666666666665,0,Netherlands
2.6666666666666665,3.333333333333333,1.3333333333333333,1.8333333333333333,2.333333333333333,0,Netherlands
4.333333333333333,2.833333333333333,3.0,2.833333333333333,2.5,0,Netherlands
2.1666666666666665,3.0,2.833333333333333,1.3333333333333333,1.5,0,Netherlands
4.166666666666667,4.0,3.0,4.0,3.5,0,Netherlands
3.6666666666666665,3.333333333333333,2.1666666666666665,2.833333333333333,2.1666666666666665,0,Netherlands
3.333333333333333,2.6666666666666665,2.333333333333333,2.5,1.5,0,Netherlands
3.6666666666666665,3.0,2.0,1.0,1.0,0,Netherlands
4.333333333333333,3.333333333333333,2.6666666666666665,2.5,2.333333333333333,0,Netherlands
3.0,2.833333333333333,3.0,2.1666666666666665,2.0,0,Netherlands
2.6666666666666665,2.833333333333333,3.1666666666666665,3.1666666666666665,1.0,1,Netherlands
4.0,3.5,1.3333333333333333,2.0,1.6666666666666667,0,Netherlands
4.0,3.5,2.0,2.333333333333333,1.8333333333333333,0,Netherlands
3.8333333333333335,3.6666666666666665,3.1666666666666665,3.0,3.0,0,Netherlands
4.0,3.333333333333333,3.1666666666666665,2.833333333333333,2.6666666666666665,0,Netherlands
3.8333333333333335,3.333333333333333,3.333333333333333,3.1666666666666665,2.6666666666666665,0,Netherlands
3.6666666666666665,3.8333333333333335,2.6666666666666665,2.6666666666666665,1.8333333333333333,1,Netherlands
4.5,3.333333333333333,1.8333333333333333,1.0,1.3333333333333333,0,Netherlands
2.5,2.1666666666666665,1.8333333333333333,1.6666666666666667,1.8333333333333333,0,Netherlands
