participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
43,h,kreida,chalk,2017-02-23 18:06:17,2017-02-23 18:06:25,100,7.395
43,h,mesa,meat,2017-02-23 18:06:25,2017-02-23 18:06:29,100,3.186
43,h,pastatas,building,2017-02-23 18:06:29,2017-02-23 18:06:39,100,9.693
43,h,muilas,soap,2017-02-23 18:06:40,2017-02-23 18:06:47,44,6.904
43,h,bugnas,drum,2017-02-23 18:06:47,2017-02-23 18:06:53,81,5.792
43,h,rusys,basement,2017-02-23 18:06:54,2017-02-23 18:06:58,100,3.451
43,h,nafta,oil,2017-02-23 18:06:58,2017-02-23 18:07:01,100,2.903
43,h,pupa,bean,2017-02-23 18:07:02,2017-02-23 18:07:07,90,4.698
43,h,mokykla,school,2017-02-23 18:07:08,2017-02-23 18:07:16,31,8.729
43,h,dirzas,belt,2017-02-23 18:07:17,2017-02-23 18:07:30,80,12.814
43,h,arbata,tea,2017-02-23 18:07:31,2017-02-23 18:07:34,100,2.854
43,h,smuikas,violin,2017-02-23 18:07:34,2017-02-23 18:07:38,0,3.316
43,h,traukinys,train,2017-02-23 18:07:38,2017-02-23 18:07:44,50,5.874
43,h,sausainis,cookie,2017-02-23 18:07:45,2017-02-23 18:07:49,30,3.849
43,h,purvas,dirt,2017-02-23 18:07:50,2017-02-23 18:07:55,90,5.012
43,h,kamuolys,ball,2017-02-23 18:07:56,2017-02-23 18:08:02,0,6.555
43,h,burna,mouth,2017-02-23 18:08:03,2017-02-23 18:08:06,100,3.369
43,h,kriaukle,sink,2017-02-23 18:08:07,2017-02-23 18:08:17,65,10.009
43,h,zele,jelly,2017-02-23 18:08:18,2017-02-23 18:08:21,100,3.036
43,h,daina,song,2017-02-23 18:08:22,2017-02-23 18:08:24,100,2.721
43,h,gelezis,iron,2017-02-23 18:08:25,2017-02-23 18:08:31,84,5.41
43,h,sesuo,sister,2017-02-23 18:08:31,2017-02-23 18:08:45,90,13.096
43,h,smegenys,brain,2017-02-23 18:08:45,2017-02-23 18:08:48,21,2.736
43,h,tiltas,bridge,2017-02-23 18:08:49,2017-02-23 18:08:52,97,3.002
43,h,kardas,sword,2017-02-23 18:08:53,2017-02-23 18:09:00,83,7.501
43,h,plyta,brick,2017-02-23 18:09:01,2017-02-23 18:09:08,67,6.555
43,h,lova,bed,2017-02-23 18:09:08,2017-02-23 18:09:11,100,3.004
43,h,kirvis,axe,2017-02-23 18:09:12,2017-02-23 18:09:16,97,3.715
43,h,upe,river,2017-02-23 18:09:17,2017-02-23 18:09:20,100,2.937
43,h,padazas,gravy,2017-02-23 18:09:20,2017-02-23 18:09:27,40,6.589
43,h,lietus,rain,2017-02-23 18:09:28,2017-02-23 18:09:35,60,7.136
43,h,kunigas,priest,2017-02-23 18:09:36,2017-02-23 18:09:46,80,10.307
43,h,knyga,book,2017-02-23 18:09:47,2017-02-23 18:09:55,90,7.816
43,h,miestas,city,2017-02-23 18:09:55,2017-02-23 18:09:59,33,3.484
43,h,varpas,bell,2017-02-23 18:10:00,2017-02-23 18:10:03,0,3.203
43,h,masina,car,2017-02-23 18:10:04,2017-02-23 18:10:07,100,2.855
43,h,pinigine,wallet,2017-02-23 18:10:07,2017-02-23 18:10:12,15,5.076
43,h,karalius,king,2017-02-23 18:10:13,2017-02-23 18:10:18,42,4.996
43,h,batas,shoe,2017-02-23 18:10:19,2017-02-23 18:10:26,40,7.217
43,h,akis,eye,2017-02-23 18:10:27,2017-02-23 18:10:30,99,2.82
43,h,laiptelis,stair,2017-02-23 18:10:31,2017-02-23 18:10:36,1,4.895
43,h,duona,bread,2017-02-23 18:10:36,2017-02-23 18:10:41,72,4.28
43,h,kumpis,ham,2017-02-23 18:10:41,2017-02-23 18:10:46,0,4.447
43,h,laikrodis,clock,2017-02-23 18:10:47,2017-02-23 18:10:52,69,5.341
43,h,vaistas,drug,2017-02-23 18:10:53,2017-02-23 18:11:02,81,9.345
