participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
14,h,kreida,chalk,2016-10-10 14:40:50,2016-10-10 14:41:01,20,10.964
14,h,mesa,meat,2016-10-10 14:41:02,2016-10-10 14:41:08,43,6.041
14,h,pastatas,building,2016-10-10 14:41:08,2016-10-10 14:41:15,39,6.405
14,h,muilas,soap,2016-10-10 14:41:16,2016-10-10 14:41:22,0,6.338
14,h,bugnas,drum,2016-10-10 14:41:23,2016-10-10 14:41:27,16,4.132
14,h,rusys,basement,2016-10-10 14:41:28,2016-10-10 14:41:31,0,3.468
14,h,nafta,oil,2016-10-10 14:41:32,2016-10-10 14:41:41,84,8.68
14,h,pupa,bean,2016-10-10 14:41:42,2016-10-10 14:41:45,20,3.12
14,h,mokykla,school,2016-10-10 14:41:45,2016-10-10 14:41:49,0,3.798
14,h,dirzas,belt,2016-10-10 14:41:50,2016-10-10 14:41:52,0,2.387
14,h,arbata,tea,2016-10-10 14:41:53,2016-10-10 14:41:57,7,3.9
14,h,smuikas,violin,2016-10-10 14:41:58,2016-10-10 14:42:01,0,3.416
14,h,traukinys,train,2016-10-10 14:42:02,2016-10-10 14:42:06,20,3.882
14,h,sausainis,cookie,2016-10-10 14:42:07,2016-10-10 14:42:10,40,2.737
14,h,purvas,dirt,2016-10-10 14:42:10,2016-10-10 14:42:13,30,2.688
14,h,kamuolys,ball,2016-10-10 14:42:14,2016-10-10 14:42:16,0,2.587
14,h,burna,mouth,2016-10-10 14:42:17,2016-10-10 14:42:22,50,4.646
14,h,kriaukle,sink,2016-10-10 14:42:23,2016-10-10 14:42:26,0,3.267
14,h,zele,jelly,2016-10-10 14:42:27,2016-10-10 14:42:32,93,5.675
14,h,daina,song,2016-10-10 14:42:33,2016-10-10 14:42:38,30,4.929
14,h,gelezis,iron,2016-10-10 14:42:39,2016-10-10 14:42:44,0,4.596
14,h,sesuo,sister,2016-10-10 14:42:44,2016-10-10 14:42:48,40,3.85
14,h,smegenys,brain,2016-10-10 14:42:49,2016-10-10 14:42:52,0,3.284
14,h,tiltas,bridge,2016-10-10 14:42:53,2016-10-10 14:42:56,0,2.488
14,h,kardas,sword,2016-10-10 14:42:56,2016-10-10 14:42:59,0,2.288
14,h,plyta,brick,2016-10-10 14:42:59,2016-10-10 14:43:03,20,3.554
14,h,lova,bed,2016-10-10 14:43:04,2016-10-10 14:43:07,80,3.087
14,h,kirvis,axe,2016-10-10 14:43:08,2016-10-10 14:43:13,39,5.657
14,h,upe,river,2016-10-10 14:43:14,2016-10-10 14:43:18,78,3.435
14,h,padazas,gravy,2016-10-10 14:43:18,2016-10-10 14:43:21,0,2.82
14,h,lietus,rain,2016-10-10 14:43:22,2016-10-10 14:43:25,21,2.57
14,h,kunigas,priest,2016-10-10 14:43:25,2016-10-10 14:43:28,0,2.471
14,h,knyga,book,2016-10-10 14:43:29,2016-10-10 14:43:31,1,2.307
14,h,miestas,city,2016-10-10 14:43:32,2016-10-10 14:43:39,15,7.071
14,h,varpas,bell,2016-10-10 14:43:40,2016-10-10 14:43:42,0,2.156
14,h,masina,car,2016-10-10 14:43:43,2016-10-10 14:43:59,0,16.931
14,h,pinigine,wallet,2016-10-10 14:44:00,2016-10-10 14:44:02,0,1.64
14,h,karalius,king,2016-10-10 14:44:03,2016-10-10 14:44:04,0,1.624
14,h,batas,shoe,2016-10-10 14:44:05,2016-10-10 14:44:12,0,6.456
14,h,akis,eye,2016-10-10 14:44:12,2016-10-10 14:44:15,10,2.522
14,h,laiptelis,stair,2016-10-10 14:44:16,2016-10-10 14:44:20,30,3.964
14,h,duona,bread,2016-10-10 14:44:20,2016-10-10 14:44:25,50,4.532
14,h,kumpis,ham,2016-10-10 14:44:26,2016-10-10 14:44:30,31,3.815
14,h,laikrodis,clock,2016-10-10 14:44:30,2016-10-10 14:44:34,20,3.517
14,h,vaistas,drug,2016-10-10 14:44:35,2016-10-10 14:44:37,0,2.704
