participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
45,h,kreida,chalk,2017-03-07 19:27:21,2017-03-07 19:27:35,50,13.602
45,h,mesa,meat,2017-03-07 19:27:36,2017-03-07 19:27:40,100,4.78
45,h,pastatas,building,2017-03-07 19:27:41,2017-03-07 19:27:44,100,3.135
45,h,muilas,soap,2017-03-07 19:27:45,2017-03-07 19:27:49,21,3.951
45,h,bugnas,drum,2017-03-07 19:27:50,2017-03-07 19:27:54,50,4.415
45,h,rusys,basement,2017-03-07 19:27:55,2017-03-07 19:27:58,50,3.251
45,h,nafta,oil,2017-03-07 19:27:59,2017-03-07 19:28:02,0,2.836
45,h,pupa,bean,2017-03-07 19:28:03,2017-03-07 19:28:08,50,4.731
45,h,mokykla,school,2017-03-07 19:28:08,2017-03-07 19:28:12,0,3.384
45,h,dirzas,belt,2017-03-07 19:28:12,2017-03-07 19:28:26,0,13.178
45,h,arbata,tea,2017-03-07 19:28:26,2017-03-07 19:28:30,11,3.934
45,h,smuikas,violin,2017-03-07 19:28:31,2017-03-07 19:28:38,10,7.085
45,h,traukinys,train,2017-03-07 19:28:39,2017-03-07 19:28:44,51,4.564
45,h,sausainis,cookie,2017-03-07 19:28:44,2017-03-07 19:28:54,0,9.643
45,h,purvas,dirt,2017-03-07 19:28:55,2017-03-07 19:29:00,6,5.36
45,h,kamuolys,ball,2017-03-07 19:29:01,2017-03-07 19:29:05,0,3.667
45,h,burna,mouth,2017-03-07 19:29:05,2017-03-07 19:29:19,22,13.911
45,h,kriaukle,sink,2017-03-07 19:29:20,2017-03-07 19:29:24,1,4.198
45,h,zele,jelly,2017-03-07 19:29:25,2017-03-07 19:29:28,50,3.184
45,h,daina,song,2017-03-07 19:29:29,2017-03-07 19:29:33,2,3.833
45,h,gelezis,iron,2017-03-07 19:29:34,2017-03-07 19:29:38,50,4.497
45,h,sesuo,sister,2017-03-07 19:29:39,2017-03-07 19:29:45,50,5.642
45,h,smegenys,brain,2017-03-07 19:29:46,2017-03-07 19:29:54,10,8.496
45,h,tiltas,bridge,2017-03-07 19:29:55,2017-03-07 19:29:59,75,3.733
45,h,kardas,sword,2017-03-07 19:29:59,2017-03-07 19:30:06,15,7.02
45,h,plyta,brick,2017-03-07 19:30:07,2017-03-07 19:30:12,0,4.646
45,h,lova,bed,2017-03-07 19:30:13,2017-03-07 19:30:47,35,34.444
45,h,kirvis,axe,2017-03-07 19:30:48,2017-03-07 19:30:53,3,4.679
45,h,upe,river,2017-03-07 19:30:53,2017-03-07 19:31:01,0,8.068
45,h,padazas,gravy,2017-03-07 19:31:02,2017-03-07 19:31:08,0,5.359
45,h,lietus,rain,2017-03-07 19:31:08,2017-03-07 19:31:11,0,2.986
45,h,kunigas,priest,2017-03-07 19:31:12,2017-03-07 19:31:16,50,3.699
45,h,knyga,book,2017-03-07 19:31:17,2017-03-07 19:31:20,8,3.203
45,h,miestas,city,2017-03-07 19:31:21,2017-03-07 19:31:25,87,4.181
45,h,varpas,bell,2017-03-07 19:31:26,2017-03-07 19:31:28,13,2.505
45,h,masina,car,2017-03-07 19:31:29,2017-03-07 19:31:34,0,5.177
45,h,pinigine,wallet,2017-03-07 19:31:35,2017-03-07 19:31:39,0,4.031
45,h,karalius,king,2017-03-07 19:31:40,2017-03-07 19:31:44,72,3.849
45,h,batas,shoe,2017-03-07 19:31:44,2017-03-07 19:31:48,48,3.651
45,h,akis,eye,2017-03-07 19:31:49,2017-03-07 19:31:52,0,2.971
45,h,laiptelis,stair,2017-03-07 19:31:53,2017-03-07 19:31:57,0,4.808
45,h,duona,bread,2017-03-07 19:31:58,2017-03-07 19:32:03,50,4.68
45,h,kumpis,ham,2017-03-07 19:32:04,2017-03-07 19:32:06,1,2.422
45,h,laikrodis,clock,2017-03-07 19:32:07,2017-03-07 19:32:10,0,2.786
45,h,vaistas,drug,2017-03-07 19:32:11,2017-03-07 19:32:19,46,8.266
