participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
12,h,kreida,chalk,2016-09-29 16:54:55,2016-09-29 16:55:00,35,5.221
12,h,mesa,meat,2016-09-29 16:55:01,2016-09-29 16:55:02,57,1.958
12,h,pastatas,building,2016-09-29 16:55:03,2016-09-29 16:55:06,49,2.222
12,h,muilas,soap,2016-09-29 16:55:06,2016-09-29 16:55:08,25,1.876
12,h,bugnas,drum,2016-09-29 16:55:09,2016-09-29 16:55:11,17,2.223
12,h,rusys,basement,2016-09-29 16:55:12,2016-09-29 16:55:14,23,2.355
12,h,nafta,oil,2016-09-29 16:55:15,2016-09-29 16:55:18,7,2.538
12,h,pupa,bean,2016-09-29 16:55:18,2016-09-29 16:55:20,61,1.543
12,h,mokykla,school,2016-09-29 16:55:21,2016-09-29 16:55:22,46,1.642
12,h,dirzas,belt,2016-09-29 16:55:23,2016-09-29 16:55:26,76,2.305
12,h,arbata,tea,2016-09-29 16:55:26,2016-09-29 16:55:29,99,2.272
12,h,smuikas,violin,2016-09-29 16:55:29,2016-09-29 16:55:31,51,1.939
12,h,traukinys,train,2016-09-29 16:55:32,2016-09-29 16:55:34,47,1.857
12,h,sausainis,cookie,2016-09-29 16:55:35,2016-09-29 16:55:36,50,1.624
12,h,purvas,dirt,2016-09-29 16:55:37,2016-09-29 16:55:39,62,1.675
12,h,kamuolys,ball,2016-09-29 16:55:40,2016-09-29 16:55:42,29,1.808
12,h,burna,mouth,2016-09-29 16:55:42,2016-09-29 16:55:44,70,1.625
12,h,kriaukle,sink,2016-09-29 16:55:45,2016-09-29 16:55:46,31,1.608
12,h,zele,jelly,2016-09-29 16:55:47,2016-09-29 16:55:49,48,1.376
12,h,daina,song,2016-09-29 16:55:49,2016-09-29 16:55:52,28,2.655
12,h,gelezis,iron,2016-09-29 16:55:53,2016-09-29 16:55:54,32,1.393
12,h,sesuo,sister,2016-09-29 16:55:55,2016-09-29 16:55:58,51,3.169
12,h,smegenys,brain,2016-09-29 16:55:59,2016-09-29 16:56:01,34,1.94
12,h,tiltas,bridge,2016-09-29 16:56:02,2016-09-29 16:56:02,56,0.761
12,h,kardas,sword,2016-09-29 16:56:03,2016-09-29 16:56:04,36,0.696
12,h,plyta,brick,2016-09-29 16:56:05,2016-09-29 16:56:05,46,0.58
12,h,lova,bed,2016-09-29 16:56:06,2016-09-29 16:56:07,30,0.548
12,h,kirvis,axe,2016-09-29 16:56:07,2016-09-29 16:56:08,69,0.579
12,h,upe,river,2016-09-29 16:56:09,2016-09-29 16:56:10,53,0.763
12,h,padazas,gravy,2016-09-29 16:56:10,2016-09-29 16:56:11,37,0.529
12,h,lietus,rain,2016-09-29 16:56:12,2016-09-29 16:56:13,52,0.879
12,h,kunigas,priest,2016-09-29 16:56:13,2016-09-29 16:56:14,41,0.562
12,h,knyga,book,2016-09-29 16:56:15,2016-09-29 16:56:16,56,1.161
12,h,miestas,city,2016-09-29 16:56:17,2016-09-29 16:56:17,52,0.629
12,h,varpas,bell,2016-09-29 16:56:18,2016-09-29 16:56:19,73,0.944
12,h,masina,car,2016-09-29 16:56:20,2016-09-29 16:56:21,26,0.713
12,h,pinigine,wallet,2016-09-29 16:56:21,2016-09-29 16:56:22,38,0.946
12,h,karalius,king,2016-09-29 16:56:23,2016-09-29 16:56:25,65,2.156
12,h,batas,shoe,2016-09-29 16:56:26,2016-09-29 16:56:27,58,1.36
12,h,akis,eye,2016-09-29 16:56:28,2016-09-29 16:56:29,31,1.112
12,h,laiptelis,stair,2016-09-29 16:56:30,2016-09-29 16:56:31,63,0.896
12,h,duona,bread,2016-09-29 16:56:32,2016-09-29 16:56:33,45,1.392
12,h,kumpis,ham,2016-09-29 16:56:34,2016-09-29 16:56:35,62,1.177
12,h,laikrodis,clock,2016-09-29 16:56:36,2016-09-29 16:56:37,59,0.945
12,h,vaistas,drug,2016-09-29 16:56:38,2016-09-29 16:56:39,45,1.144
