participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
49,f,kreida,chalk,2017-05-12 14:38:55,2017-05-12 14:39:10,90,15.164
49,f,mesa,meat,2017-05-12 14:39:11,2017-05-12 14:39:15,100,3.519
49,f,pastatas,building,2017-05-12 14:39:15,2017-05-12 14:39:19,100,3.65
49,f,muilas,soap,2017-05-12 14:39:20,2017-05-12 14:39:25,60,5.211
49,f,bugnas,drum,2017-05-12 14:39:26,2017-05-12 14:39:29,60,3.352
49,f,rusys,basement,2017-05-12 14:39:30,2017-05-12 14:39:35,70,5.328
49,f,nafta,oil,2017-05-12 14:39:36,2017-05-12 14:39:39,90,2.754
49,f,pupa,bean,2017-05-12 14:39:40,2017-05-12 14:39:43,95,3.85
49,f,mokykla,school,2017-05-12 14:39:44,2017-05-12 14:39:51,94,6.34
49,f,dirzas,belt,2017-05-12 14:39:51,2017-05-12 14:39:55,80,3.799
49,f,arbata,tea,2017-05-12 14:39:56,2017-05-12 14:39:59,80,2.655
49,f,smuikas,violin,2017-05-12 14:39:59,2017-05-12 14:40:04,70,5.011
49,f,traukinys,train,2017-05-12 14:40:05,2017-05-12 14:40:10,80,4.779
49,f,sausainis,cookie,2017-05-12 14:40:11,2017-05-12 14:40:14,100,3.65
49,f,purvas,dirt,2017-05-12 14:40:15,2017-05-12 14:40:18,90,2.787
49,f,kamuolys,ball,2017-05-12 14:40:19,2017-05-12 14:40:24,80,5.609
49,f,burna,mouth,2017-05-12 14:40:25,2017-05-12 14:40:27,100,2.143
49,f,kriaukle,sink,2017-05-12 14:40:28,2017-05-12 14:40:33,75,4.995
49,f,zele,jelly,2017-05-12 14:40:34,2017-05-12 14:40:36,100,2.123
49,f,daina,song,2017-05-12 14:40:37,2017-05-12 14:40:41,80,4.501
49,f,gelezis,iron,2017-05-12 14:40:42,2017-05-12 14:40:47,80,4.646
49,f,sesuo,sister,2017-05-12 14:40:48,2017-05-12 14:40:50,90,2.654
49,f,smegenys,brain,2017-05-12 14:40:51,2017-05-12 14:40:55,85,3.567
49,f,tiltas,bridge,2017-05-12 14:40:55,2017-05-12 14:40:59,95,3.268
49,f,kardas,sword,2017-05-12 14:41:00,2017-05-12 14:41:04,95,4.878
49,f,plyta,brick,2017-05-12 14:41:05,2017-05-12 14:41:09,75,4.148
49,f,lova,bed,2017-05-12 14:41:10,2017-05-12 14:41:12,100,2.29
49,f,kirvis,axe,2017-05-12 14:41:13,2017-05-12 14:41:18,80,4.945
49,f,upe,river,2017-05-12 14:41:19,2017-05-12 14:41:23,85,3.85
49,f,padazas,gravy,2017-05-12 14:41:24,2017-05-12 14:41:28,70,4.796
49,f,lietus,rain,2017-05-12 14:41:29,2017-05-12 14:41:33,85,3.384
49,f,kunigas,priest,2017-05-12 14:41:33,2017-05-12 14:41:38,90,4.363
49,f,knyga,book,2017-05-12 14:41:39,2017-05-12 14:41:43,85,4.896
49,f,miestas,city,2017-05-12 14:41:44,2017-05-12 14:41:49,100,5.11
49,f,varpas,bell,2017-05-12 14:41:50,2017-05-12 14:41:54,85,3.667
49,f,masina,car,2017-05-12 14:41:55,2017-05-12 14:42:00,80,5.211
49,f,pinigine,wallet,2017-05-12 14:42:01,2017-05-12 14:42:06,85,5.026
49,f,karalius,king,2017-05-12 14:42:06,2017-05-12 14:42:12,65,5.592
49,f,batas,shoe,2017-05-12 14:42:13,2017-05-12 14:42:17,70,3.833
49,f,akis,eye,2017-05-12 14:42:18,2017-05-12 14:42:27,60,9.544
49,f,laiptelis,stair,2017-05-12 14:42:28,2017-05-12 14:42:39,40,10.953
49,f,duona,bread,2017-05-12 14:42:40,2017-05-12 14:42:46,50,5.957
49,f,kumpis,ham,2017-05-12 14:42:46,2017-05-12 14:42:50,70,3.251
49,f,laikrodis,clock,2017-05-12 14:42:50,2017-05-12 14:42:55,55,4.729
49,f,vaistas,drug,2017-05-12 14:42:56,2017-05-12 14:43:02,30,6.504
