participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
50,c,kreida,chalk,2017-04-13 11:51:14,2017-04-13 11:51:16,100,2.664
50,c,mesa,meat,2017-04-13 11:51:17,2017-04-13 11:51:19,100,2.291
50,c,pastatas,building,2017-04-13 11:51:20,2017-04-13 11:51:23,100,3.036
50,c,muilas,soap,2017-04-13 11:51:24,2017-04-13 11:51:27,100,3.319
50,c,bugnas,drum,2017-04-13 11:51:28,2017-04-13 11:51:32,0,4.148
50,c,rusys,basement,2017-04-13 11:51:33,2017-04-13 11:51:35,0,2.388
50,c,nafta,oil,2017-04-13 11:51:36,2017-04-13 11:51:38,50,1.924
50,c,pupa,bean,2017-04-13 11:51:39,2017-04-13 11:51:42,100,2.938
50,c,mokykla,school,2017-04-13 11:51:43,2017-04-13 11:51:46,100,3.584
50,c,dirzas,belt,2017-04-13 11:51:47,2017-04-13 11:51:50,100,3.202
50,c,arbata,tea,2017-04-13 11:51:51,2017-04-13 11:51:55,100,3.635
50,c,smuikas,violin,2017-04-13 11:51:55,2017-04-13 11:51:59,50,3.85
50,c,traukinys,train,2017-04-13 11:52:00,2017-04-13 11:52:03,50,2.487
50,c,sausainis,cookie,2017-04-13 11:52:03,2017-04-13 11:52:08,0,4.347
50,c,purvas,dirt,2017-04-13 11:52:09,2017-04-13 11:52:12,100,3.269
50,c,kamuolys,ball,2017-04-13 11:52:13,2017-04-13 11:52:16,50,2.97
50,c,burna,mouth,2017-04-13 11:52:16,2017-04-13 11:52:20,100,3.884
50,c,kriaukle,sink,2017-04-13 11:52:21,2017-04-13 11:52:24,100,3.302
50,c,zele,jelly,2017-04-13 11:52:25,2017-04-13 11:52:28,0,3.367
50,c,daina,song,2017-04-13 11:52:29,2017-04-13 11:52:32,50,3.02
50,c,gelezis,iron,2017-04-13 11:52:33,2017-04-13 11:52:37,100,3.718
50,c,sesuo,sister,2017-04-13 11:52:38,2017-04-13 11:52:41,50,3.218
50,c,smegenys,brain,2017-04-13 11:52:42,2017-04-13 11:52:45,100,3.169
50,c,tiltas,bridge,2017-04-13 11:52:46,2017-04-13 11:52:49,100,3.733
50,c,kardas,sword,2017-04-13 11:52:50,2017-04-13 11:52:53,100,2.97
50,c,plyta,brick,2017-04-13 11:52:54,2017-04-13 11:52:57,100,3.236
50,c,lova,bed,2017-04-13 11:52:58,2017-04-13 11:53:01,100,2.589
50,c,kirvis,axe,2017-04-13 11:53:01,2017-04-13 11:53:04,100,2.688
50,c,upe,river,2017-04-13 11:53:05,2017-04-13 11:53:07,100,2.539
50,c,padazas,gravy,2017-04-13 11:53:08,2017-04-13 11:53:11,100,2.987
50,c,lietus,rain,2017-04-13 11:53:12,2017-04-13 11:53:15,100,2.887
50,c,kunigas,priest,2017-04-13 11:53:16,2017-04-13 11:53:19,0,2.886
50,c,knyga,book,2017-04-13 11:53:19,2017-04-13 11:53:22,100,3.02
50,c,miestas,city,2017-04-13 11:53:23,2017-04-13 11:53:26,100,2.671
50,c,varpas,bell,2017-04-13 11:53:27,2017-04-13 11:53:30,100,3.568
50,c,masina,car,2017-04-13 11:53:31,2017-04-13 11:53:34,100,2.671
50,c,pinigine,wallet,2017-04-13 11:53:34,2017-04-13 11:53:39,100,4.18
50,c,karalius,king,2017-04-13 11:53:39,2017-04-13 11:53:42,50,3.054
50,c,batas,shoe,2017-04-13 11:53:43,2017-04-13 11:53:48,100,5.145
50,c,akis,eye,2017-04-13 11:53:49,2017-04-13 11:53:59,100,9.343
50,c,laiptelis,stair,2017-04-13 11:53:59,2017-04-13 11:54:03,100,3.617
50,c,duona,bread,2017-04-13 11:54:04,2017-04-13 11:54:08,100,4.281
50,c,kumpis,ham,2017-04-13 11:54:09,2017-04-13 11:54:19,100,9.711
50,c,laikrodis,clock,2017-04-13 11:54:19,2017-04-13 11:54:23,100,3.832
50,c,vaistas,drug,2017-04-13 11:54:24,2017-04-13 11:54:28,100,3.634
