participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
17,c,kreida,chalk,2016-08-09 13:42:09,2016-08-09 13:42:16,11,7.528
17,c,mesa,meat,2016-08-09 13:42:17,2016-08-09 13:42:21,81,3.535
17,c,pastatas,building,2016-08-09 13:42:21,2016-08-09 13:42:27,20,5.509
17,c,muilas,soap,2016-08-09 13:42:28,2016-08-09 13:42:35,11,7.751
17,c,bugnas,drum,2016-08-09 13:42:36,2016-08-09 13:42:42,64,6.257
17,c,rusys,basement,2016-08-09 13:42:43,2016-08-09 13:42:46,82,2.737
17,c,nafta,oil,2016-08-09 13:42:47,2016-08-09 13:42:52,69,5.244
17,c,pupa,bean,2016-08-09 13:42:53,2016-08-09 13:42:59,11,6.474
17,c,mokykla,school,2016-08-09 13:43:00,2016-08-09 13:43:06,11,6.223
17,c,dirzas,belt,2016-08-09 13:43:07,2016-08-09 13:43:13,2,5.526
17,c,arbata,tea,2016-08-09 13:43:13,2016-08-09 13:43:20,11,6.191
17,c,smuikas,violin,2016-08-09 13:43:20,2016-08-09 13:43:25,10,4.479
17,c,traukinys,train,2016-08-09 13:43:26,2016-08-09 13:43:32,60,6.024
17,c,sausainis,cookie,2016-08-09 13:43:33,2016-08-09 13:43:39,70,6.538
17,c,purvas,dirt,2016-08-09 13:43:40,2016-08-09 13:43:44,21,4.481
17,c,kamuolys,ball,2016-08-09 13:43:45,2016-08-09 13:43:50,10,4.646
17,c,burna,mouth,2016-08-09 13:43:51,2016-08-09 13:43:57,60,5.892
17,c,kriaukle,sink,2016-08-09 13:43:57,2016-08-09 13:44:03,10,5.476
17,c,zele,jelly,2016-08-09 13:44:04,2016-08-09 13:44:08,93,4.015
17,c,daina,song,2016-08-09 13:44:08,2016-08-09 13:44:12,95,3.418
17,c,gelezis,iron,2016-08-09 13:44:13,2016-08-09 13:44:27,29,14.208
17,c,sesuo,sister,2016-08-09 13:44:28,2016-08-09 13:44:33,71,5.41
17,c,smegenys,brain,2016-08-09 13:44:34,2016-08-09 13:44:42,61,7.75
17,c,tiltas,bridge,2016-08-09 13:44:42,2016-08-09 13:44:49,75,6.753
17,c,kardas,sword,2016-08-09 13:44:50,2016-08-09 13:44:56,50,6.257
17,c,plyta,brick,2016-08-09 13:44:57,2016-08-09 13:45:02,20,5.294
17,c,lova,bed,2016-08-09 13:45:03,2016-08-09 13:45:08,94,4.946
17,c,kirvis,axe,2016-08-09 13:45:09,2016-08-09 13:45:14,30,4.812
17,c,upe,river,2016-08-09 13:45:14,2016-08-09 13:45:22,89,7.701
17,c,padazas,gravy,2016-08-09 13:45:23,2016-08-09 13:45:27,70,4.132
17,c,lietus,rain,2016-08-09 13:45:28,2016-08-09 13:45:33,19,4.946
17,c,kunigas,priest,2016-08-09 13:45:34,2016-08-09 13:45:43,20,8.912
17,c,knyga,book,2016-08-09 13:45:43,2016-08-09 13:45:52,70,8.665
17,c,miestas,city,2016-08-09 13:45:53,2016-08-09 13:45:58,89,5.509
17,c,varpas,bell,2016-08-09 13:45:59,2016-08-09 13:46:02,20,3.053
17,c,masina,car,2016-08-09 13:46:03,2016-08-09 13:46:08,10,4.78
17,c,pinigine,wallet,2016-08-09 13:46:09,2016-08-09 13:46:14,71,5.492
17,c,karalius,king,2016-08-09 13:46:15,2016-08-09 13:46:20,6,4.928
17,c,batas,shoe,2016-08-09 13:46:21,2016-08-09 13:46:25,11,3.983
17,c,akis,eye,2016-08-09 13:46:25,2016-08-09 13:46:29,10,3.718
17,c,laiptelis,stair,2016-08-09 13:46:30,2016-08-09 13:46:37,80,7.452
17,c,duona,bread,2016-08-09 13:46:38,2016-08-09 13:46:41,89,3.386
17,c,kumpis,ham,2016-08-09 13:46:42,2016-08-09 13:46:46,9,3.734
17,c,laikrodis,clock,2016-08-09 13:46:47,2016-08-09 13:46:50,92,3.484
17,c,vaistas,drug,2016-08-09 13:46:51,2016-08-09 13:46:56,91,5.302
