lithuanian_word,english_word_correct,english_word_response,trial_start,trial_end,participant_num,group
pastatas,building,building ,2017-02-16 13:35:29,2017-02-16 13:37:06,38,C
mesa,meat,meat,2017-02-16 13:37:07,2017-02-16 13:37:18,38,C
bugnas,drum,drum,2017-02-16 13:37:18,2017-02-16 13:37:28,38,C
kreida,chalk,unsure,2017-02-16 13:37:28,2017-02-16 13:37:54,38,C
muilas,soap,soup,2017-02-16 13:37:54,2017-02-16 13:38:03,38,C
rusys,basement,apartment,2017-02-16 13:38:03,2017-02-16 13:38:12,38,C
mokykla,school,school,2017-02-16 13:38:12,2017-02-16 13:38:20,38,C
nafta,oil,oil,2017-02-16 13:38:21,2017-02-16 13:38:25,38,C
dirzas,belt,unsure,2017-02-16 13:38:26,2017-02-16 13:38:41,38,C
pupa,bean,bean,2017-02-16 13:38:42,2017-02-16 13:38:46,38,C
traukinys,train,train,2017-02-16 13:38:47,2017-02-16 13:38:53,38,C
arbata,tea,unsure,2017-02-16 13:38:54,2017-02-16 13:39:14,38,C
sausainis,cookie,cookie,2017-02-16 13:39:15,2017-02-16 13:39:24,38,C
purvas,dirt,dirt,2017-02-16 13:39:24,2017-02-16 13:39:34,38,C
smuikas,violin,unsure,2017-02-16 13:39:35,2017-02-16 13:39:47,38,C
zele,jelly,jelly,2017-02-16 13:39:47,2017-02-16 13:39:53,38,C
burna,mouth,mouth,2017-02-16 13:39:53,2017-02-16 13:39:58,38,C
kriaukle,sink,shirt,2017-02-16 13:39:59,2017-02-16 13:40:15,38,C
daina,song,music,2017-02-16 13:40:16,2017-02-16 13:40:30,38,C
kamuolys,ball,iron,2017-02-16 13:40:30,2017-02-16 13:40:37,38,C
sesuo,sister,sister,2017-02-16 13:40:37,2017-02-16 13:40:42,38,C
smegenys,brain,brain,2017-02-16 13:40:43,2017-02-16 13:40:49,38,C
gelezis,iron,iron,2017-02-16 13:40:50,2017-02-16 13:40:59,38,C
kardas,sword,unknown,2017-02-16 13:40:59,2017-02-16 13:41:13,38,C
tiltas,bridge,bridge,2017-02-16 13:41:13,2017-02-16 13:41:22,38,C
lova,bed,bed,2017-02-16 13:41:23,2017-02-16 13:41:27,38,C
plyta,brick,unknown,2017-02-16 13:41:27,2017-02-16 13:41:38,38,C
kirvis,axe,iron,2017-02-16 13:41:38,2017-02-16 13:41:47,38,C
upe,river,river,2017-02-16 13:41:47,2017-02-16 13:41:53,38,C
padazas,gravy,unknown,2017-02-16 13:41:53,2017-02-16 13:42:08,38,C
kunigas,priest,priest,2017-02-16 13:42:08,2017-02-16 13:42:16,38,C
knyga,book,unknown,2017-02-16 13:42:17,2017-02-16 13:42:23,38,C
lietus,rain,unknown,2017-02-16 13:42:23,2017-02-16 13:42:53,38,C
miestas,city,city,2017-02-16 13:42:53,2017-02-16 13:43:05,38,C
varpas,bell,unknown,2017-02-16 13:43:06,2017-02-16 13:43:12,38,C
batas,shoe,shoe,2017-02-16 13:43:12,2017-02-16 13:43:20,38,C
karalius,king,king,2017-02-16 13:43:21,2017-02-16 13:43:28,38,C
masina,car,car,2017-02-16 13:43:28,2017-02-16 13:43:34,38,C
pinigine,wallet,wallet,2017-02-16 13:43:35,2017-02-16 13:43:40,38,C
akis,eye,eye,2017-02-16 13:43:40,2017-02-16 13:43:47,38,C
laiptelis,stair,iron,2017-02-16 13:43:48,2017-02-16 13:43:59,38,C
kumpis,ham,ham,2017-02-16 13:44:00,2017-02-16 13:44:16,38,C
laikrodis,clock,unknown,2017-02-16 13:44:16,2017-02-16 13:44:23,38,C
duona,bread,bread,2017-02-16 13:44:24,2017-02-16 13:44:31,38,C
vaistas,drug,drug,2017-02-16 13:44:31,2017-02-16 13:44:35,38,C
