participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
21,f,kreida,chalk,2016-10-17 16:35:21,2016-10-17 16:35:32,64,11.197
21,f,mesa,meat,2016-10-17 16:35:33,2016-10-17 16:35:38,100,4.681
21,f,pastatas,building,2016-10-17 16:35:39,2016-10-17 16:35:42,80,3.534
21,f,muilas,soap,2016-10-17 16:35:43,2016-10-17 16:35:46,79,2.622
21,f,bugnas,drum,2016-10-17 16:35:46,2016-10-17 16:35:49,51,2.788
21,f,rusys,basement,2016-10-17 16:35:50,2016-10-17 16:35:53,41,2.853
21,f,nafta,oil,2016-10-17 16:35:54,2016-10-17 16:35:56,80,2.492
21,f,pupa,bean,2016-10-17 16:35:57,2016-10-17 16:36:00,100,2.838
21,f,mokykla,school,2016-10-17 16:36:01,2016-10-17 16:36:03,61,2.737
21,f,dirzas,belt,2016-10-17 16:36:04,2016-10-17 16:36:08,29,3.911
21,f,arbata,tea,2016-10-17 16:36:09,2016-10-17 16:36:14,69,5.444
21,f,smuikas,violin,2016-10-17 16:36:15,2016-10-17 16:36:21,41,5.425
21,f,traukinys,train,2016-10-17 16:36:21,2016-10-17 16:36:24,78,2.903
21,f,sausainis,cookie,2016-10-17 16:36:25,2016-10-17 16:36:29,100,4.38
21,f,purvas,dirt,2016-10-17 16:36:30,2016-10-17 16:36:35,60,4.68
21,f,kamuolys,ball,2016-10-17 16:36:36,2016-10-17 16:36:40,38,4.116
21,f,burna,mouth,2016-10-17 16:36:41,2016-10-17 16:36:43,74,2.302
21,f,kriaukle,sink,2016-10-17 16:36:44,2016-10-17 16:36:49,40,5.378
21,f,zele,jelly,2016-10-17 16:36:50,2016-10-17 16:36:52,100,2.602
21,f,daina,song,2016-10-17 16:36:53,2016-10-17 16:36:56,69,2.257
21,f,gelezis,iron,2016-10-17 16:36:56,2016-10-17 16:37:00,51,3.269
21,f,sesuo,sister,2016-10-17 16:37:00,2016-10-17 16:37:03,100,2.722
21,f,smegenys,brain,2016-10-17 16:37:04,2016-10-17 16:37:06,63,2.234
21,f,tiltas,bridge,2016-10-17 16:37:07,2016-10-17 16:37:11,39,3.783
21,f,kardas,sword,2016-10-17 16:37:12,2016-10-17 16:37:14,81,2.82
21,f,plyta,brick,2016-10-17 16:37:15,2016-10-17 16:37:17,59,1.973
21,f,lova,bed,2016-10-17 16:37:18,2016-10-17 16:37:22,100,3.818
21,f,kirvis,axe,2016-10-17 16:37:23,2016-10-17 16:37:25,61,2.604
21,f,upe,river,2016-10-17 16:37:26,2016-10-17 16:37:29,50,2.756
21,f,padazas,gravy,2016-10-17 16:37:30,2016-10-17 16:37:32,31,2.405
21,f,lietus,rain,2016-10-17 16:37:33,2016-10-17 16:37:36,20,2.94
21,f,kunigas,priest,2016-10-17 16:37:36,2016-10-17 16:37:41,41,4.198
21,f,knyga,book,2016-10-17 16:37:41,2016-10-17 16:37:44,11,2.373
21,f,miestas,city,2016-10-17 16:37:45,2016-10-17 16:37:48,70,3.601
21,f,varpas,bell,2016-10-17 16:37:49,2016-10-17 16:37:51,61,2.372
21,f,masina,car,2016-10-17 16:37:52,2016-10-17 16:37:54,81,2.09
21,f,pinigine,wallet,2016-10-17 16:37:55,2016-10-17 16:37:58,60,2.67
21,f,karalius,king,2016-10-17 16:37:59,2016-10-17 16:38:01,91,2.754
21,f,batas,shoe,2016-10-17 16:38:02,2016-10-17 16:38:06,100,3.734
21,f,akis,eye,2016-10-17 16:38:07,2016-10-17 16:38:09,100,2.573
21,f,laiptelis,stair,2016-10-17 16:38:10,2016-10-17 16:38:12,69,2.372
21,f,duona,bread,2016-10-17 16:38:13,2016-10-17 16:38:16,90,2.737
21,f,kumpis,ham,2016-10-17 16:38:17,2016-10-17 16:38:19,71,1.924
21,f,laikrodis,clock,2016-10-17 16:38:19,2016-10-17 16:38:23,40,3.666
21,f,vaistas,drug,2016-10-17 16:38:24,2016-10-17 16:38:26,51,2.454
