participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
28,h,kreida,chalk,2016-11-23 11:22:40,2016-11-23 11:22:59,100,18.15
28,h,mesa,meat,2016-11-23 11:22:59,2016-11-23 11:23:20,100,20.401
28,h,pastatas,building,2016-11-23 11:23:21,2016-11-23 11:23:29,49,8.812
28,h,muilas,soap,2016-11-23 11:23:30,2016-11-23 11:23:34,0,3.535
28,h,bugnas,drum,2016-11-23 11:23:34,2016-11-23 11:23:40,100,5.66
28,h,rusys,basement,2016-11-23 11:23:41,2016-11-23 11:23:44,100,2.787
28,h,nafta,oil,2016-11-23 11:23:45,2016-11-23 11:23:47,100,2.87
28,h,pupa,bean,2016-11-23 11:23:48,2016-11-23 11:23:55,100,7.055
28,h,mokykla,school,2016-11-23 11:23:56,2016-11-23 11:24:03,100,6.738
28,h,dirzas,belt,2016-11-23 11:24:04,2016-11-23 11:24:07,100,3.168
28,h,arbata,tea,2016-11-23 11:24:08,2016-11-23 11:24:22,100,13.992
28,h,smuikas,violin,2016-11-23 11:24:22,2016-11-23 11:24:27,0,5.059
28,h,traukinys,train,2016-11-23 11:24:28,2016-11-23 11:24:33,100,5.244
28,h,sausainis,cookie,2016-11-23 11:24:34,2016-11-23 11:24:37,100,2.437
28,h,purvas,dirt,2016-11-23 11:24:37,2016-11-23 11:24:42,19,4.182
28,h,kamuolys,ball,2016-11-23 11:24:42,2016-11-23 11:24:46,1,3.119
28,h,burna,mouth,2016-11-23 11:24:46,2016-11-23 11:24:51,40,5.012
28,h,kriaukle,sink,2016-11-23 11:24:52,2016-11-23 11:25:08,41,16.167
28,h,zele,jelly,2016-11-23 11:25:09,2016-11-23 11:25:18,72,8.945
28,h,daina,song,2016-11-23 11:25:19,2016-11-23 11:25:23,43,3.7
28,h,gelezis,iron,2016-11-23 11:25:23,2016-11-23 11:25:26,1,2.869
28,h,sesuo,sister,2016-11-23 11:25:27,2016-11-23 11:25:31,61,4.33
28,h,smegenys,brain,2016-11-23 11:25:32,2016-11-23 11:25:36,17,4.248
28,h,tiltas,bridge,2016-11-23 11:25:37,2016-11-23 11:25:39,49,1.973
28,h,kardas,sword,2016-11-23 11:25:40,2016-11-23 11:25:43,50,3.035
28,h,plyta,brick,2016-11-23 11:25:44,2016-11-23 11:25:50,23,5.842
28,h,lova,bed,2016-11-23 11:25:50,2016-11-23 11:25:54,71,3.468
28,h,kirvis,axe,2016-11-23 11:25:55,2016-11-23 11:25:58,36,3.218
28,h,upe,river,2016-11-23 11:25:59,2016-11-23 11:26:03,61,4.016
28,h,padazas,gravy,2016-11-23 11:26:04,2016-11-23 11:26:07,16,3.052
28,h,lietus,rain,2016-11-23 11:26:07,2016-11-23 11:26:13,13,5.89
28,h,kunigas,priest,2016-11-23 11:26:14,2016-11-23 11:26:21,26,6.554
28,h,knyga,book,2016-11-23 11:26:21,2016-11-23 11:26:24,14,2.754
28,h,miestas,city,2016-11-23 11:26:25,2016-11-23 11:26:29,35,4.432
28,h,varpas,bell,2016-11-23 11:26:30,2016-11-23 11:26:35,60,4.961
28,h,masina,car,2016-11-23 11:26:36,2016-11-23 11:26:39,40,2.953
28,h,pinigine,wallet,2016-11-23 11:26:40,2016-11-23 11:26:46,79,6.422
28,h,karalius,king,2016-11-23 11:26:47,2016-11-23 11:26:50,64,3.003
28,h,batas,shoe,2016-11-23 11:26:51,2016-11-23 11:26:53,76,2.173
28,h,akis,eye,2016-11-23 11:26:54,2016-11-23 11:26:56,78,2.209
28,h,laiptelis,stair,2016-11-23 11:26:57,2016-11-23 11:27:01,84,4.014
28,h,duona,bread,2016-11-23 11:27:02,2016-11-23 11:27:05,51,3.086
28,h,kumpis,ham,2016-11-23 11:27:05,2016-11-23 11:27:08,14,2.788
28,h,laikrodis,clock,2016-11-23 11:27:09,2016-11-23 11:27:12,85,3.035
28,h,vaistas,drug,2016-11-23 11:27:13,2016-11-23 11:27:18,2,5.341
