participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
36,f,kreida,chalk,2017-02-03 18:10:27,2017-02-03 18:10:38,20,11.595
36,f,mesa,meat,2017-02-03 18:10:39,2017-02-03 18:10:51,85,11.438
36,f,pastatas,building,2017-02-03 18:10:51,2017-02-03 18:11:12,50,20.765
36,f,muilas,soap,2017-02-03 18:11:13,2017-02-03 18:11:17,10,4.216
36,f,bugnas,drum,2017-02-03 18:11:18,2017-02-03 18:11:21,50,2.97
36,f,rusys,basement,2017-02-03 18:11:22,2017-02-03 18:11:31,60,9.643
36,f,nafta,oil,2017-02-03 18:11:32,2017-02-03 18:11:36,90,3.601
36,f,pupa,bean,2017-02-03 18:11:37,2017-02-03 18:11:42,60,5.145
36,f,mokykla,school,2017-02-03 18:11:43,2017-02-03 18:11:51,40,8.598
36,f,dirzas,belt,2017-02-03 18:11:52,2017-02-03 18:11:55,20,3.134
36,f,arbata,tea,2017-02-03 18:11:56,2017-02-03 18:11:59,60,3.469
36,f,smuikas,violin,2017-02-03 18:12:00,2017-02-03 18:12:04,50,3.633
36,f,traukinys,train,2017-02-03 18:12:05,2017-02-03 18:12:07,70,2.818
36,f,sausainis,cookie,2017-02-03 18:12:08,2017-02-03 18:12:11,60,3.102
36,f,purvas,dirt,2017-02-03 18:12:12,2017-02-03 18:12:19,20,6.605
36,f,kamuolys,ball,2017-02-03 18:12:20,2017-02-03 18:12:25,5,4.995
36,f,burna,mouth,2017-02-03 18:12:25,2017-02-03 18:12:29,70,3.732
36,f,kriaukle,sink,2017-02-03 18:12:30,2017-02-03 18:12:39,25,8.713
36,f,zele,jelly,2017-02-03 18:12:39,2017-02-03 18:12:42,80,2.77
36,f,daina,song,2017-02-03 18:12:43,2017-02-03 18:12:47,30,4.115
36,f,gelezis,iron,2017-02-03 18:12:48,2017-02-03 18:12:52,20,4.165
36,f,sesuo,sister,2017-02-03 18:12:53,2017-02-03 18:12:55,70,2.206
36,f,smegenys,brain,2017-02-03 18:12:56,2017-02-03 18:12:59,30,3.6
36,f,tiltas,bridge,2017-02-03 18:13:00,2017-02-03 18:13:05,10,5.011
36,f,kardas,sword,2017-02-03 18:13:06,2017-02-03 18:13:10,20,3.584
36,f,plyta,brick,2017-02-03 18:13:10,2017-02-03 18:13:13,20,2.687
36,f,lova,bed,2017-02-03 18:13:14,2017-02-03 18:13:17,70,2.855
36,f,kirvis,axe,2017-02-03 18:13:18,2017-02-03 18:13:22,40,4.414
36,f,upe,river,2017-02-03 18:13:23,2017-02-03 18:13:26,20,3.449
36,f,padazas,gravy,2017-02-03 18:13:27,2017-02-03 18:13:29,10,2.255
36,f,lietus,rain,2017-02-03 18:13:30,2017-02-03 18:13:36,20,6.257
36,f,kunigas,priest,2017-02-03 18:13:37,2017-02-03 18:13:40,10,3.102
36,f,knyga,book,2017-02-03 18:13:41,2017-02-03 18:13:48,20,7.27
36,f,miestas,city,2017-02-03 18:13:49,2017-02-03 18:13:52,40,2.704
36,f,varpas,bell,2017-02-03 18:13:53,2017-02-03 18:13:56,5,3.6
36,f,masina,car,2017-02-03 18:13:57,2017-02-03 18:14:02,10,5.377
36,f,pinigine,wallet,2017-02-03 18:14:03,2017-02-03 18:14:06,0,3.135
36,f,karalius,king,2017-02-03 18:14:07,2017-02-03 18:14:10,40,3.037
36,f,batas,shoe,2017-02-03 18:14:11,2017-02-03 18:14:14,70,3.119
36,f,akis,eye,2017-02-03 18:14:15,2017-02-03 18:14:17,50,2.556
36,f,laiptelis,stair,2017-02-03 18:14:18,2017-02-03 18:14:22,0,3.682
36,f,duona,bread,2017-02-03 18:14:23,2017-02-03 18:14:29,15,6.473
36,f,kumpis,ham,2017-02-03 18:14:30,2017-02-03 18:14:33,90,2.721
36,f,laikrodis,clock,2017-02-03 18:14:33,2017-02-03 18:14:37,30,3.384
36,f,vaistas,drug,2017-02-03 18:14:38,2017-02-03 18:14:42,25,4.032
