participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
27,c,kreida,chalk,2016-11-30 14:55:37,2016-11-30 14:55:41,9,3.792
27,c,mesa,meat,2016-11-30 14:55:42,2016-11-30 14:55:44,11,2.492
27,c,pastatas,building,2016-11-30 14:55:45,2016-11-30 14:55:46,9,1.624
27,c,muilas,soap,2016-11-30 14:55:47,2016-11-30 14:55:49,40,2.04
27,c,bugnas,drum,2016-11-30 14:55:50,2016-11-30 14:55:52,11,1.808
27,c,rusys,basement,2016-11-30 14:55:53,2016-11-30 14:55:56,42,3.401
27,c,nafta,oil,2016-11-30 14:55:57,2016-11-30 14:55:59,8,1.989
27,c,pupa,bean,2016-11-30 14:56:00,2016-11-30 14:56:01,7,1.26
27,c,mokykla,school,2016-11-30 14:56:02,2016-11-30 14:56:04,8,2.637
27,c,dirzas,belt,2016-11-30 14:56:05,2016-11-30 14:56:07,5,1.607
27,c,arbata,tea,2016-11-30 14:56:08,2016-11-30 14:56:09,6,1.559
27,c,smuikas,violin,2016-11-30 14:56:10,2016-11-30 14:56:13,7,2.869
27,c,traukinys,train,2016-11-30 14:56:14,2016-11-30 14:56:16,9,2.154
27,c,sausainis,cookie,2016-11-30 14:56:17,2016-11-30 14:56:21,12,4.446
27,c,purvas,dirt,2016-11-30 14:56:22,2016-11-30 14:56:23,11,1.227
27,c,kamuolys,ball,2016-11-30 14:56:24,2016-11-30 14:56:33,14,9.178
27,c,burna,mouth,2016-11-30 14:56:34,2016-11-30 14:56:39,15,5.476
27,c,kriaukle,sink,2016-11-30 14:56:40,2016-11-30 14:56:48,6,8.083
27,c,zele,jelly,2016-11-30 14:56:49,2016-11-30 14:56:52,13,2.57
27,c,daina,song,2016-11-30 14:56:52,2016-11-30 14:56:54,13,1.459
27,c,gelezis,iron,2016-11-30 14:56:55,2016-11-30 14:56:56,7,1.692
27,c,sesuo,sister,2016-11-30 14:56:57,2016-11-30 14:56:58,10,1.31
27,c,smegenys,brain,2016-11-30 14:56:59,2016-11-30 14:57:00,11,1.143
27,c,tiltas,bridge,2016-11-30 14:57:01,2016-11-30 14:57:03,15,1.907
27,c,kardas,sword,2016-11-30 14:57:04,2016-11-30 14:57:06,7,1.824
27,c,plyta,brick,2016-11-30 14:57:06,2016-11-30 14:57:08,15,1.176
27,c,lova,bed,2016-11-30 14:57:08,2016-11-30 14:57:11,3,2.459
27,c,kirvis,axe,2016-11-30 14:57:12,2016-11-30 14:57:13,9,1.226
27,c,upe,river,2016-11-30 14:57:14,2016-11-30 14:57:15,12,1.044
27,c,padazas,gravy,2016-11-30 14:57:16,2016-11-30 14:57:16,9,0.861
27,c,lietus,rain,2016-11-30 14:57:17,2016-11-30 14:57:19,11,1.269
27,c,kunigas,priest,2016-11-30 14:57:19,2016-11-30 14:57:20,11,0.844
27,c,knyga,book,2016-11-30 14:57:21,2016-11-30 14:57:22,14,1.009
27,c,miestas,city,2016-11-30 14:57:23,2016-11-30 14:57:24,14,1.558
27,c,varpas,bell,2016-11-30 14:57:25,2016-11-30 14:57:26,9,1.259
27,c,masina,car,2016-11-30 14:57:27,2016-11-30 14:57:28,17,0.862
27,c,pinigine,wallet,2016-11-30 14:57:29,2016-11-30 14:57:31,21,2.006
27,c,karalius,king,2016-11-30 14:57:32,2016-11-30 14:57:33,9,1.508
27,c,batas,shoe,2016-11-30 14:57:34,2016-11-30 14:57:39,40,4.576
27,c,akis,eye,2016-11-30 14:57:39,2016-11-30 14:57:41,9,1.393
27,c,laiptelis,stair,2016-11-30 14:57:42,2016-11-30 14:57:42,9,0.86
27,c,duona,bread,2016-11-30 14:57:43,2016-11-30 14:57:44,7,0.911
27,c,kumpis,ham,2016-11-30 14:57:45,2016-11-30 14:57:46,8,0.845
27,c,laikrodis,clock,2016-11-30 14:57:47,2016-11-30 14:57:47,10,0.96
27,c,vaistas,drug,2016-11-30 14:57:48,2016-11-30 14:57:50,9,1.26
