participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
6,a,kreida,chalk,2016-04-28 16:41:10,2016-04-28 16:41:15,89,4.109
6,a,mesa,meat,2016-04-28 16:41:15,2016-04-28 16:41:18,100,2.788
6,a,pastatas,building,2016-04-28 16:41:19,2016-04-28 16:41:21,83,2.056
6,a,muilas,soap,2016-04-28 16:41:22,2016-04-28 16:41:25,95,3.07
6,a,bugnas,drum,2016-04-28 16:41:26,2016-04-28 16:41:28,66,2.473
6,a,rusys,basement,2016-04-28 16:41:29,2016-04-28 16:41:31,61,1.724
6,a,nafta,oil,2016-04-28 16:41:31,2016-04-28 16:41:34,100,2.24
6,a,pupa,bean,2016-04-28 16:41:35,2016-04-28 16:41:36,100,1.809
6,a,mokykla,school,2016-04-28 16:41:37,2016-04-28 16:41:39,80,1.874
6,a,dirzas,belt,2016-04-28 16:41:40,2016-04-28 16:41:42,91,2.238
6,a,arbata,tea,2016-04-28 16:41:43,2016-04-28 16:41:45,100,1.676
6,a,smuikas,violin,2016-04-28 16:41:45,2016-04-28 16:41:48,46,2.653
6,a,traukinys,train,2016-04-28 16:41:49,2016-04-28 16:41:51,75,2.439
6,a,sausainis,cookie,2016-04-28 16:41:52,2016-04-28 16:41:54,100,2.405
6,a,purvas,dirt,2016-04-28 16:41:55,2016-04-28 16:41:59,54,3.385
6,a,kamuolys,ball,2016-04-28 16:41:59,2016-04-28 16:42:01,53,1.791
6,a,burna,mouth,2016-04-28 16:42:02,2016-04-28 16:42:04,85,2.107
6,a,kriaukle,sink,2016-04-28 16:42:05,2016-04-28 16:42:07,20,2.255
6,a,zele,jelly,2016-04-28 16:42:08,2016-04-28 16:42:10,100,1.791
6,a,daina,song,2016-04-28 16:42:11,2016-04-28 16:42:12,100,1.692
6,a,gelezis,iron,2016-04-28 16:42:13,2016-04-28 16:42:15,79,1.692
6,a,sesuo,sister,2016-04-28 16:42:16,2016-04-28 16:42:17,100,1.791
6,a,smegenys,brain,2016-04-28 16:42:18,2016-04-28 16:42:20,100,2.04
6,a,tiltas,bridge,2016-04-28 16:42:21,2016-04-28 16:42:26,84,4.945
6,a,kardas,sword,2016-04-28 16:42:27,2016-04-28 16:42:28,69,1.757
6,a,plyta,brick,2016-04-28 16:42:29,2016-04-28 16:42:31,69,2.09
6,a,lova,bed,2016-04-28 16:42:32,2016-04-28 16:42:34,100,1.626
6,a,kirvis,axe,2016-04-28 16:42:35,2016-04-28 16:42:37,60,1.94
6,a,upe,river,2016-04-28 16:42:37,2016-04-28 16:42:40,44,2.306
6,a,padazas,gravy,2016-04-28 16:42:40,2016-04-28 16:42:43,26,2.355
6,a,lietus,rain,2016-04-28 16:42:44,2016-04-28 16:42:46,83,2.257
6,a,kunigas,priest,2016-04-28 16:42:47,2016-04-28 16:42:52,40,5.642
6,a,knyga,book,2016-04-28 16:42:53,2016-04-28 16:42:55,9,2.057
6,a,miestas,city,2016-04-28 16:42:56,2016-04-28 16:42:58,68,2.14
6,a,varpas,bell,2016-04-28 16:42:59,2016-04-28 16:43:00,86,1.542
6,a,masina,car,2016-04-28 16:43:01,2016-04-28 16:43:03,67,1.742
6,a,pinigine,wallet,2016-04-28 16:43:04,2016-04-28 16:43:06,68,2.073
6,a,karalius,king,2016-04-28 16:43:07,2016-04-28 16:43:09,91,2.223
6,a,batas,shoe,2016-04-28 16:43:10,2016-04-28 16:43:13,95,3.186
6,a,akis,eye,2016-04-28 16:43:14,2016-04-28 16:43:15,87,1.676
6,a,laiptelis,stair,2016-04-28 16:43:16,2016-04-28 16:43:20,72,3.568
6,a,duona,bread,2016-04-28 16:43:20,2016-04-28 16:43:23,81,2.306
6,a,kumpis,ham,2016-04-28 16:43:24,2016-04-28 16:43:25,100,1.825
6,a,laikrodis,clock,2016-04-28 16:43:26,2016-04-28 16:43:28,72,2.006
6,a,vaistas,drug,2016-04-28 16:43:29,2016-04-28 16:43:30,82,1.495
