participant_number,group,lithuanian_word,english_word,trial_start,trial_end,JOL,response_time
32,c,kreida,chalk,2017-01-26 11:33:56,2017-01-26 11:34:06,100,10.118
32,c,mesa,meat,2017-01-26 11:34:07,2017-01-26 11:34:10,100,3.07
32,c,pastatas,building,2017-01-26 11:34:10,2017-01-26 11:34:14,100,3.534
32,c,muilas,soap,2017-01-26 11:34:15,2017-01-26 11:34:22,90,7.038
32,c,bugnas,drum,2017-01-26 11:34:23,2017-01-26 11:34:25,90,2.505
32,c,rusys,basement,2017-01-26 11:34:26,2017-01-26 11:34:29,100,2.804
32,c,nafta,oil,2017-01-26 11:34:29,2017-01-26 11:34:32,100,2.837
32,c,pupa,bean,2017-01-26 11:34:33,2017-01-26 11:34:35,100,2.109
32,c,mokykla,school,2017-01-26 11:34:36,2017-01-26 11:34:39,100,2.788
32,c,dirzas,belt,2017-01-26 11:34:40,2017-01-26 11:34:48,60,8.712
32,c,arbata,tea,2017-01-26 11:34:49,2017-01-26 11:34:52,100,2.987
32,c,smuikas,violin,2017-01-26 11:34:53,2017-01-26 11:34:57,70,3.931
32,c,traukinys,train,2017-01-26 11:34:58,2017-01-26 11:35:01,70,3.367
32,c,sausainis,cookie,2017-01-26 11:35:02,2017-01-26 11:35:06,100,4.082
32,c,purvas,dirt,2017-01-26 11:35:07,2017-01-26 11:35:10,70,3.419
32,c,kamuolys,ball,2017-01-26 11:35:11,2017-01-26 11:35:15,60,4.199
32,c,burna,mouth,2017-01-26 11:35:16,2017-01-26 11:35:19,100,2.987
32,c,kriaukle,sink,2017-01-26 11:35:20,2017-01-26 11:35:25,60,5.107
32,c,zele,jelly,2017-01-26 11:35:26,2017-01-26 11:35:28,100,2.372
32,c,daina,song,2017-01-26 11:35:29,2017-01-26 11:35:31,100,2.655
32,c,gelezis,iron,2017-01-26 11:35:32,2017-01-26 11:35:37,50,4.862
32,c,sesuo,sister,2017-01-26 11:35:38,2017-01-26 11:35:41,100,2.919
32,c,smegenys,brain,2017-01-26 11:35:42,2017-01-26 11:35:44,50,2.571
32,c,tiltas,bridge,2017-01-26 11:35:45,2017-01-26 11:35:48,100,2.871
32,c,kardas,sword,2017-01-26 11:35:49,2017-01-26 11:35:52,70,2.971
32,c,plyta,brick,2017-01-26 11:35:52,2017-01-26 11:35:56,80,4.115
32,c,lova,bed,2017-01-26 11:35:57,2017-01-26 11:36:00,100,2.739
32,c,kirvis,axe,2017-01-26 11:36:01,2017-01-26 11:36:03,60,2.538
32,c,upe,river,2017-01-26 11:36:04,2017-01-26 11:36:07,50,2.655
32,c,padazas,gravy,2017-01-26 11:36:08,2017-01-26 11:36:10,100,2.588
32,c,lietus,rain,2017-01-26 11:36:11,2017-01-26 11:36:15,50,3.761
32,c,kunigas,priest,2017-01-26 11:36:16,2017-01-26 11:36:18,30,2.269
32,c,knyga,book,2017-01-26 11:36:19,2017-01-26 11:36:20,30,1.759
32,c,miestas,city,2017-01-26 11:36:21,2017-01-26 11:36:24,100,2.671
32,c,varpas,bell,2017-01-26 11:36:25,2017-01-26 11:36:29,30,4.548
32,c,masina,car,2017-01-26 11:36:30,2017-01-26 11:36:33,30,2.622
32,c,pinigine,wallet,2017-01-26 11:36:33,2017-01-26 11:36:36,60,2.736
32,c,karalius,king,2017-01-26 11:36:37,2017-01-26 11:36:40,80,2.954
32,c,batas,shoe,2017-01-26 11:36:41,2017-01-26 11:36:45,100,3.801
32,c,akis,eye,2017-01-26 11:36:45,2017-01-26 11:36:48,100,2.357
32,c,laiptelis,stair,2017-01-26 11:36:48,2017-01-26 11:36:51,100,2.853
32,c,duona,bread,2017-01-26 11:36:52,2017-01-26 11:36:55,100,3.053
32,c,kumpis,ham,2017-01-26 11:36:56,2017-01-26 11:36:59,60,2.588
32,c,laikrodis,clock,2017-01-26 11:36:59,2017-01-26 11:37:02,30,2.886
32,c,vaistas,drug,2017-01-26 11:37:03,2017-01-26 11:37:06,30,2.807
