key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,trialsInst.thisRepN,trialsInst.thisTrialN,trialsInst.thisN,trialsInst.thisIndex,trialsInst.ran,infoType,thisWord,thisColor,condition,corrAns,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.keys,key_resp_6.rt
space,2.9486,space,25.7189,1,3.9984,0,0,0,0,1,instructions,RED,red,congruent,1,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,
,,,,0,1.7633,0,1,1,1,1,instructions,YELLOW,yellow,incongruent,0,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,
,,,,2,1.5348,0,2,2,2,1,instructions,YELLOW,blue,incongruent,2,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,
,,,,9,1.3645,0,3,3,3,1,instructions,RED,green,congruent,9,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,,,,,,,,,
,,,,,,,,,,,trial,RED,blue,incongruent,2,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,space,8.4037,2,1.0142,0,0,0,4,1,,
,,,,,,,,,,,trial,RED,green,incongruent,9,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,9,0.6675,0,1,1,12,1,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,9,0.6957,0,2,2,10,1,,
,,,,,,,,,,,trial,GREEN,red,incongruent,1,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,1,0.7765,0,3,3,14,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,0,0.9326,0,4,4,3,1,,
,,,,,,,,,,,trial,RED,red,congruent,1,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,1,1.019,0,5,5,0,1,,
,,,,,,,,,,,trial,GREEN,yellow,incongruent,0,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,0,0.7991,0,6,6,6,1,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,2,1.2165,0,7,7,9,1,,
,,,,,,,,,,,trial,BLUE,green,incongruent,9,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,9,0.7286,0,8,8,5,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,0,0.7206,0,9,9,11,1,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,2,0.9016,0,10,10,1,1,,
,,,,,,,,,,,trial,YELLOW,blue,incongruent,2,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,2,0.6519,0,11,11,15,1,,
,,,,,,,,,,,trial,RED,red,congruent,1,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,1,0.7004,0,12,12,8,1,,
,,,,,,,,,,,trial,YELLOW,red,incongruent,1,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,1,0.6358,0,13,13,7,1,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,9,0.8516,0,14,14,2,1,,
,,,,,,,,,,,trial,BLUE,yellow,incongruent,0,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,0,1.3018,0,15,15,13,1,,
,,,,,,,,,,,trial,GREEN,yellow,incongruent,0,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,0,0.7932,1,0,16,6,1,,
,,,,,,,,,,,trial,YELLOW,blue,incongruent,2,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,2,0.7014,1,1,17,15,1,,
,,,,,,,,,,,trial,RED,blue,incongruent,2,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,2,0.737,1,2,18,4,1,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,15,2022-03-08_11h56.46.476,stroop,2021.1.4,MacIntel,59.99880002,,,9,0.8471,1,3,19,10,1,,
