key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,trialsInst.thisRepN,trialsInst.thisTrialN,trialsInst.thisN,trialsInst.thisIndex,trialsInst.ran,infoType,thisWord,thisColor,condition,corrAns,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.keys,key_resp_6.rt
space,2.0375,space,1.454,1,1.08,0,0,0,0,1,instructions,RED,red,congruent,1,1,2022-03-04_12h20.01.148,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,0,1.2356,0,1,1,1,1,instructions,YELLOW,yellow,incongruent,0,1,2022-03-04_12h20.01.148,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,2,1.1931,0,2,2,2,1,instructions,YELLOW,blue,incongruent,2,1,2022-03-04_12h20.01.148,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,9,1.4256,0,3,3,3,1,instructions,RED,green,congruent,9,1,2022-03-04_12h20.01.148,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,1,2022-03-04_12h20.01.148,stroop,2021.1.4,MacIntel,60.0024001,space,33.7721,0,1.3355,0,0,0,11,1,,
,,,,,,,,,,,trial,YELLOW,red,incongruent,1,1,2022-03-04_12h20.01.148,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.6254,0,1,1,7,1,,
,,,,,,,,,,,trial,YELLOW,blue,incongruent,2,1,2022-03-04_12h20.01.148,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.6365,0,2,2,15,1,,
,,,,,,,,,,,trial,RED,green,incongruent,9,1,2022-03-04_12h20.01.148,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.6229,0,3,3,12,1,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,1,2022-03-04_12h20.01.148,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.6907,0,4,4,9,1,,
,,,,,,,,,,,trial,BLUE,yellow,incongruent,0,1,2022-03-04_12h20.01.148,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.6423,0,5,5,13,1,,
