key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,trialsInst.thisRepN,trialsInst.thisTrialN,trialsInst.thisN,trialsInst.thisIndex,trialsInst.ran,infoType,thisWord,thisColor,condition,corrAns,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.keys,key_resp_6.rt
space,1.5035,space,5.9507,1,0.5344,0,0,0,0,1,instructions,RED,red,congruent,1,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,0,0.4941,0,1,1,1,1,instructions,YELLOW,yellow,incongruent,0,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,2,0.619,0,2,2,2,1,instructions,YELLOW,blue,incongruent,2,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,9,0.5267,0,3,3,3,1,instructions,RED,green,congruent,9,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,space,1.1214,2,0.5687,0,0,0,9,1,,
,,,,,,,,,,,trial,RED,green,incongruent,9,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.5079,0,1,1,12,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.4157,0,2,2,11,1,,
,,,,,,,,,,,trial,BLUE,green,incongruent,9,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.4979,0,3,3,5,1,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.4072,0,4,4,2,1,,
,,,,,,,,,,,trial,YELLOW,blue,incongruent,2,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.4714,0,5,5,15,1,,
,,,,,,,,,,,trial,GREEN,red,incongruent,1,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.4811,0,6,6,14,1,,
,,,,,,,,,,,trial,RED,red,congruent,1,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.5645,0,7,7,0,1,,
,,,,,,,,,,,trial,YELLOW,red,incongruent,1,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.6038,0,8,8,7,1,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.3982,0,9,9,10,1,,
,,,,,,,,,,,trial,BLUE,yellow,incongruent,0,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.8899,0,10,10,13,1,,
,,,,,,,,,,,trial,RED,blue,incongruent,2,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.4822,0,11,11,4,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.453,0,12,12,3,1,,
,,,,,,,,,,,trial,GREEN,yellow,incongruent,0,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.4227,0,13,13,6,1,,
,,,,,,,,,,,trial,RED,red,congruent,1,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.5263,0,14,14,8,1,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.4333,0,15,15,1,1,,
,,,,,,,,,,,trial,YELLOW,blue,incongruent,2,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.4489,1,0,16,15,1,,
,,,,,,,,,,,trial,BLUE,yellow,incongruent,0,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.4833,1,1,17,13,1,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.5313,1,2,18,2,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.4332,1,3,19,3,1,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.4726,1,4,20,9,1,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.4566,1,5,21,1,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.4765,1,6,22,11,1,,
,,,,,,,,,,,trial,GREEN,yellow,incongruent,0,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.4891,1,7,23,6,1,,
,,,,,,,,,,,trial,BLUE,green,incongruent,9,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.7374,1,8,24,5,1,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.4335,1,9,25,10,1,,
,,,,,,,,,,,trial,RED,green,incongruent,9,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.442,1,10,26,12,1,,
,,,,,,,,,,,trial,RED,red,congruent,1,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.5089,1,11,27,0,1,,
,,,,,,,,,,,trial,GREEN,red,incongruent,1,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.5385,1,12,28,14,1,,
,,,,,,,,,,,trial,RED,blue,incongruent,2,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.518,1,13,29,4,1,,
,,,,,,,,,,,trial,YELLOW,red,incongruent,1,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.4644,1,14,30,7,1,,
,,,,,,,,,,,trial,RED,red,congruent,1,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.526,1,15,31,8,1,,
,,,,,,,,,,,,,,,,9,2022-03-06_20h14.51.900,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,space,6.9667
