key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,trialsInst.thisRepN,trialsInst.thisTrialN,trialsInst.thisN,trialsInst.thisIndex,trialsInst.ran,infoType,thisWord,thisColor,condition,corrAns,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.keys,key_resp_6.rt
space,4.1238,space,22.9486,1,1.0521,0,0,0,0,1,instructions,RED,red,congruent,1,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,,,,,,,,,
,,,,0,0.9024,0,1,1,1,1,instructions,YELLOW,yellow,incongruent,0,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,,,,,,,,,
,,,,2,1.0341,0,2,2,2,1,instructions,YELLOW,blue,incongruent,2,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,,,,,,,,,
,,,,9,0.7697,0,3,3,3,1,instructions,RED,green,congruent,9,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,,,,,,,,,
,,,,,,,,,,,trial,RED,green,incongruent,9,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,space,1.2681,1,1.0606,0,0,0,12,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,0,0.803,0,1,1,11,1,,
,,,,,,,,,,,trial,RED,red,congruent,1,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,1,0.6679,0,2,2,0,1,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,2,0.6086,0,3,3,9,1,,
,,,,,,,,,,,trial,YELLOW,blue,incongruent,2,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,2,0.6414,0,4,4,15,1,,
,,,,,,,,,,,trial,YELLOW,red,incongruent,1,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,1,0.5706,0,5,5,7,1,,
,,,,,,,,,,,trial,RED,blue,incongruent,2,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,2,0.5868,0,6,6,4,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,0,0.5173,0,7,7,3,1,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,19,2022-03-08_15h22.20.182,stroop,2021.1.4,Win32,59.91970759,,,2,0.5199,0,8,8,1,1,,
