key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,trialsInst.thisRepN,trialsInst.thisTrialN,trialsInst.thisN,trialsInst.thisIndex,trialsInst.ran,infoType,thisWord,thisColor,condition,corrAns,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.keys,key_resp_6.rt
space,4.1865,space,27.4999,1,1.709,0,0,0,0,1,instructions,RED,red,congruent,1,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,0,2.4591,0,1,1,1,1,instructions,YELLOW,yellow,incongruent,0,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,2,1.5838,0,2,2,2,1,instructions,YELLOW,blue,incongruent,2,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,9,1.8644,0,3,3,3,1,instructions,RED,green,congruent,9,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,space,10.416,9,0.7799,0,0,0,2,1,,
,,,,,,,,,,,trial,BLUE,green,incongruent,9,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.9099,0,1,1,5,1,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.508,0,2,2,10,1,,
,,,,,,,,,,,trial,YELLOW,blue,incongruent,2,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.8248,0,3,3,15,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.7287,0,4,4,11,1,,
,,,,,,,,,,,trial,GREEN,red,incongruent,1,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.6162,0,5,5,14,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,20,2022-03-08_16h15.38.688,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.6431,0,6,6,3,1,,
