key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,trialsInst.thisRepN,trialsInst.thisTrialN,trialsInst.thisN,trialsInst.thisIndex,trialsInst.ran,infoType,thisWord,thisColor,condition,corrAns,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.keys,key_resp_6.rt
space,1.5279,space,24.1184,1,2.0064,0,0,0,0,1,instructions,RED,red,congruent,1,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,0,1.0833,0,1,1,1,1,instructions,YELLOW,yellow,incongruent,0,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,2,0.8818,0,2,2,2,1,instructions,YELLOW,blue,incongruent,2,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,9,1.3472,0,3,3,3,1,instructions,RED,green,congruent,9,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,,,,,,,,,
,,,,,,,,,,,trial,GREEN,yellow,incongruent,0,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,space,4.0168,0,0.7141,0,0,0,6,1,,
,,,,,,,,,,,trial,YELLOW,red,incongruent,1,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.7563,0,1,1,7,1,,
,,,,,,,,,,,trial,RED,red,congruent,1,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.5642,0,2,2,0,1,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.7688,0,3,3,10,1,,
,,,,,,,,,,,trial,RED,red,congruent,1,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.5825,0,4,4,8,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.4778,0,5,5,3,1,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.6349,0,6,6,9,1,,
,,,,,,,,,,,trial,BLUE,blue,congruent,2,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.4696,0,7,7,1,1,,
,,,,,,,,,,,trial,RED,blue,incongruent,2,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,2,0.643,0,8,8,4,1,,
,,,,,,,,,,,trial,BLUE,green,incongruent,9,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.8172,0,9,9,5,1,,
,,,,,,,,,,,trial,YELLOW,yellow,congruent,0,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,0,0.5667,0,10,10,11,1,,
,,,,,,,,,,,trial,GREEN,green,congruent,9,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.7608,0,11,11,2,1,,
,,,,,,,,,,,trial,RED,green,incongruent,9,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,9,0.7636,0,12,12,12,1,,
,,,,,,,,,,,trial,GREEN,red,incongruent,1,6,2022-03-05_15h25.08.296,stroop,2021.1.4,MacIntel,60.0024001,,,1,0.5978,0,13,13,14,1,,
